Company Name,Company Domain,Company Phone,Company City,Company State,Company Address,Company Industry,ICP Score,Contact First Name,Contact Last Name,Contact Email,Contact Phone,Contact Job Title,Deal Name,Deal Amount
Publix Super Markets Distribution,,(863) 688-1188,Lakeland,FL,,Food distribution warehouse,15,,,,,,MIRA Pilot — Publix Super Markets Distribution,499
Mosaic Company Bartow Complex,,(813) 775-4200,Bartow,FL,,Phosphate mining & chemical,15,,,,,,MIRA Pilot — Mosaic Company Bartow Complex,499
Winter Haven Water Utility,mywinterhaven.com,(863) 291-5600,Winter Haven,FL,,water treatment,14,,,,,,,
US Foods Distribution Lakeland,usfoods.com,(863) 647-4400,Lakeland,FL,,food distribution,14,,,,,,,
Sun Pacific Shippers,sunpacific.com,(863) 422-5100,Haines City,FL,,food processing,14,,,,,,,
Highlands County Water Systems,hcbcc.net,(863) 402-6650,Sebring,FL,,water treatment,14,,,,,,,
Pepsi Bottling Group Lakeland,pepsico.com,(863) 683-5484,Lakeland,FL,,beverage,14,,,,,,,
Orange County Water Utilities,ocfl.net,(407) 254-9756,Orlando,FL,,water treatment,14,,,,,,,
Lake County Utilities Clermont,lakecountyfl.gov,(352) 343-9723,Clermont,FL,,water treatment,14,,,,,,,
Osceola County Water Resources,osceola.org,(407) 742-0200,Kissimmee,FL,,water treatment,14,,,,,,,
Publix Distribution Center Lakeland,publix.com,(863) 688-1188,Lakeland,FL,,food distribution,14,,,,,,,
Layne Water Technologies Lakeland,layne.com,(863) 686-3900,Lakeland,FL,,water treatment,14,,,,,,,
US Sugar Corporation Clewiston Mill,,(863) 983-8121,Clewiston,FL,,Sugar mill / food processing,14,,,,,,,
Mosaic New Wales Mine,mosaicco.com,(863) 425-1361,Mulberry,FL,,chemical,14,,,,,,,
SYSCO Central Florida Lakeland,sysco.com,(863) 646-3300,Lakeland,FL,,food distribution,14,,,,,,,
Pfizer Manufacturing Plant City,pfizer.com,(813) 754-3900,Plant City,FL,,pharmaceutical,14,,,,,,,
FreshPoint Central Florida,freshpoint.com,(813) 754-1200,Plant City,FL,,food distribution,14,,,,,,,
CF Industries Bartow,cfindustries.com,(863) 533-3163,Bartow,FL,,chemical,14,,,,,,,
Hillsborough County Water Treatment,hillsboroughcounty.org,(813) 757-3870,Plant City,FL,,water treatment,14,,,,,,,
Mosaic Fertilizer South Pierce,mosaicco.com,(863) 285-5500,Fort Meade,FL,,chemical,14,,,,,,,
Toho Water Authority,tohowater.com,(407) 944-5000,Kissimmee,FL,,water treatment,14,,,,,,,
Louis Dreyfus Company Citrus,ldc.com,(863) 967-2000,Auburndale,FL,,food processing,14,,,,,,,
Darden Restaurants Supply Orlando,darden.com,(407) 245-4000,Orlando,FL,,food distribution,14,,,,,,,
Lake Wales Water Treatment Plant,lakewalesfl.gov,(863) 678-4182,Lake Wales,FL,,water treatment,14,,,,,,,
Minute Maid Coca-Cola Auburndale,minutemaid.com,(863) 965-1000,Auburndale,FL,,food processing,14,,,,,,,
Peace River Phosphates Bartow,mosaicco.com,(863) 533-2210,Bartow,FL,,chemical,14,,,,,,,
Florida Natural Growers,floridanatural.com,(863) 965-5000,Auburndale,FL,,food processing,14,,,,,,,
Coca-Cola Bottling Company Lakeland,cocacolacompany.com,(863) 686-6154,Lakeland,FL,,beverage,14,,,,,,,
Tampa Bay Water Authority,tampabaywater.org,(727) 796-2355,Tampa,FL,,water treatment,13,,,,,,,
Brenntag Chemical Tampa,brenntag.com,(813) 621-4710,Tampa,FL,,chemical,13,,,,,,,
Tropicana Products Inc,tropicana.com,(941) 747-4461,Bradenton,FL,,food processing,13,,,,,,,
Seminole County Water Utilities,seminolecountyfl.gov,(407) 665-2600,Sanford,FL,,water treatment,13,,,,,,,
Tropicana Bradenton Plant,,,Bradenton,FL,,Citrus juice processing,13,,,,,,,
Merita Bakeries (Flowers Foods) Orlando,,,Orlando,FL,,Bakery / food manufacturing,13,,,,,,,
Florida Crystals Sugar Mill,,,Pahokee,FL,,Sugar mill / food processing,13,,,,,,,
Haines City Citrus Growers Association,,,Haines City,FL,,Citrus processing cooperative,13,,,,,,,
Heartland BioEnergy,,(863) 676-9224,Lake Wales,FL,,chemical,13,,,,,,,
Peace River Citrus Products,,,Arcadia,FL,,Citrus processing / food manufacturing,13,,,,,,,
US Sugar Corporation Clewiston,ussugar.com,(863) 983-8121,Clewiston,FL,,food processing,13,,,,,,,
Florida Crystals Sugar Division,floridacrystals.com,(561) 996-9072,Clewiston,FL,,food processing,13,,,,,,,
