row_id,manufacturer,model_number,equipment_type,condition,has_nameplate,priority,search_query,url_hint,sources_yaml_key,status,notes
mac_motor_damaged,MAC,,motor,damaged,true,1,MAC motor service manual repair guide,https://www.mac-corp.com,mac_motor,portal_no_pdf,Two damaged MAC motors in field — NP present on both. OCR returned no model number.
motor_damaged_unknown_001,,motor,motor,damaged,false,1,industrial motor troubleshooting repair manual,,motor_unknown_damaged_001,to_find,Unknown mfr motor with visible damage. No nameplate readable.
other_damaged_unknown_001,,other,other,damaged,false,1,industrial equipment fault diagnosis manual,,other_unknown_damaged_001,to_find,Unknown type/mfr damaged — fault visible
other_damaged_unknown_002,,other,other,damaged,false,1,industrial equipment fault diagnosis manual,,other_unknown_damaged_002,to_find,Unknown type/mfr damaged
other_damaged_unknown_003,,other,other,damaged,false,1,industrial equipment fault diagnosis manual,,other_unknown_damaged_003,to_find,Unknown type/mfr damaged
other_fault_visible_001,,other,other,fault_visible,false,1,industrial equipment fault diagnosis manual,,other_fault_visible_001,to_find,Fault visibly present — unidentified equipment type
siemens_3rv1935,Siemens,3RV1935-5A,contactor,normal,true,2,Siemens 3RV1935-5A contactor wiring installation manual,https://support.industry.siemens.com/cs/attachments/60279172/manual_SIRIUS_circuit_breaker_3RV_en-US.pdf,siemens_3rv1935,ingested,NP confirmed. SIRIUS circuit breaker/contactor combination. Search Siemens Industry portal.
deshao_dh8116500,DESHAO,DH 8116500,motor,normal,true,2,DESHAO DH8116500 motor manual specifications nameplate,,deshao_dh8116500,to_find,Chinese OEM motor. NP confirmed. Try deshao.com or alibaba product listings for spec sheet.
deshao_ws160,DESHAO,WS-160,motor,normal,true,2,DESHAO WS-160 motor manual specifications,,deshao_ws160,to_find,Likely same brand as DH 8116500 — OCR variant. Verify model.
deshao_wp5160p,DESHAO,WP5-160P,motor,normal,true,2,DESHAO WP5-160P motor manual specifications,,deshao_wp5160p,to_find,OCR variant of DESHAO brand. May be DESHA-O misread.
deshao_sm302100,DESHAO,SM302-100,motor,normal,true,2,DESHAO SM302-100 motor specifications,,deshao_sm302100,to_find,OCR may be DESHAZZO. Cross-check with deshao_dh8116500 manufacturer.
erroll_ec310,ERROLL,EC310,motor,normal,true,2,ERROLL EC310 motor manual wiring nameplate,,erroll_ec310,to_find,NP confirmed. May be ERROLL brand or OCR variant of another name. Cross-check with INTERRA EC310.
interra_ec310,INTERRA,EC310,motor,normal,true,2,INTERRA EC310 motor manual specifications,,interra_ec310,to_find,NP confirmed. Same model as ERROLL EC310 — possibly same OEM with different label.
demag_dccom2,Demag,DC-Com 2 250 1/1 H5,crane_controller,normal,true,2,Demag DC-Com 2 crane controller manual programming fault codes,https://www.tsoverheadcrane.com/pdf/demag-dc-com-manual.pdf,demag_dccom2,ingested,Full nameplate: DC-Com 2 250 1/1 H5 V7.2/1.8. Demag Cranes & Components GmbH.
magnetek_flex6ex2,Magnetek,FLEX 6EX2,crane_control,normal,true,2,Magnetek FLEX 6EX2 crane control system manual,https://www.hoosiercrane.com/media/wysiwyg/Manuals/Magnetek/Flex-6EX2-System-Radio-Control-Equipment-Manual-191-50600-M000F.pdf,magnetek_flex6ex2,ingested,NP confirmed. Magnetek variable frequency crane drives — likely has published PDF manual.
lt_lr7827,L&T,LR7827,sensor,normal,true,2,L&T LR7827 sensor datasheet installation manual,,lt_lr7827,to_find,NP confirmed. Larsen & Toubro (L&T) or different L&T brand. Check lntecc.com or lntiescl.com.
accolift_2330020,ACCOLIFT,2330020,hoist,normal,true,2,ACCOLIFT 2330020 hoist manual parts diagram,,accolift_2330020,to_find,NP confirmed. ACCOLIFT overhead hoist — search cmco.com or spanco.com (possible reseller brands).
legacy_mfg_8346,Legacy Manufacturing,8346,other,normal,true,2,Legacy Manufacturing 8346 manual specifications,,legacy_mfg_8346,to_find,NP confirmed. Legacy Manufacturing Company industrial part.
zeit_fzelt010,ZEIT,fzelt010,plc,normal,true,2,ZEIT fzelt010 PLC controller manual programming,,zeit_fzelt010,to_find,NP confirmed. ZEIT industrial controller — likely German or European origin.
interroll_multicontrol,Interroll,MultiControl Analog Interface,control_module,normal,true,2,Interroll MultiControl Analog Interface manual installation,https://www.interroll.com/fileadmin/Downloads/User_Manuals/Controls/MultiControl/User_Manual_MultiControl_EN.pdf,interroll_multicontrol,ingested,NP confirmed. Interroll conveyor system control module. Check interroll.com downloads.
forward_mfg_9472,Forward Manufacturing,9472,motor,normal,true,2,Forward Manufacturing 9472 motor manual specifications,,forward_mfg_9472,to_find,NP confirmed. Forward Manufacturing industrial motor.
aetra_bvrl01,AETRA,B VRL 01,motor,normal,true,2,AETRA B VRL 01 motor manual nameplate specifications,,aetra_bvrl01,to_find,NP confirmed. May be Brazilian brand AETRA (electrical equipment). Verify region.
